date,tag,elapsed,size,cpu
2021-12-04,5.10.74.3,00:50:48,,i3-4005u@1.70
2021-12-04,5.15.0,00:41:00,,i3-4005u@1.70
2021-12-05,5.16-rc4,00:47:13,13.374,i3-4005u@1.70
2021-12-13,5.16-rc5,00:48:52,13.668,i3-4005u@1.70
2021-12-22,5.16-rc6,00:41:18,13.374,i3-4005u@1.70
2021-12-27,5.16-rc7,00:39:46,13.369,i3-4005u@1.70
2022-01-03,5.16-rc8,00:42:07,13.368,i3-4005u@1.70
2022-01-11,5.16.0,00:46:08,13.368,i3-4005u@1.70
2022-01-17,5.16.1,00:39:55,13.369,i3-4005u@1.70
2022-01-20,5.16.2,00:43:04,13.368,i3-4005u@1.70
2022-01-23,5.17-rc1,00:39:35,13.402,i3-4005u@1.70
2022-01-30,5.17-rc2,00:40:04,13.398,i3-4005u@1.70
2022-02-14,5.17-rc4,00:38:54,13.411,i3-4005u@1.70
2022-03-07,5.17-rc7,00:38:42,13.395,i3-4005u@1.70
2022-03-14,5.17-rc8,00:39:44,13.391,i3-4005u@1.70
2022-03-21,5.17.0,00:39:52,13.395,i3-4005u@1.70
2022-03-28,5.17.1,00:38:52,13.391,i3-4005u@1.70
2022-04-04,5.18-rc1,00:48:09,13.542,i3-4005u@1.70
2022-04-11,5.18-rc2,00:41:11,13.539,i3-4005u@1.70
2022-04-17,5.18-rc3,00:51:40,13.542,i3-4005u@1.70
2022-04-25,5.18-rc4,00:41:52,13.543,i3-4005u@1.70
2022-05-03,5.18-rc5,00:41:26,13.542,i3-4005u@1.70
2022-05-09,5.18-rc6,00:56:02,13.544,i3-4005u@1.70
2022-05-16,5.18-rc7,00:43:39,13.545,i3-4005u@1.70
2022-05-22,5.18.0,00:41:31,13.543,i3-4005u@1.70
2022-05-30,5.18.1,00:42:07,13.544,i3-4005u@1.70
2022-06-06,5.19-rc1,00:45:26,13.654,i3-4005u@1.70
2022-06-13,5.19-rc2,00:57:03,13.651,i3-4005u@1.70
2022-06-22,5.19-rc3,00:44:05,13.655,i3-4005u@1.70
2022-06-29,5.19-rc4,00:50:55,13.658,i3-4005u@1.70
2022-07-04,5.19-rc5,00:43:14,13.659,i3-4005u@1.70
2022-07-12,5.19-rc6,00:43:19,13.664,i3-4005u@1.70
2022-07-21,5.19-rc7,00:47:51,14.045,i3-4005u@1.70
2022-07-25,5.19-rc8,00:45:13,14.047,i3-4005u@1.70
2022-08-01,5.19.0,00:42:37,14.052,i3-4005u@1.70
2022-08-11,5.19.1,00:54:33,14.007,i3-4005u@1.70
2022-08-15,6.0-rc1,00:46:07,14.073,i3-4005u@1.70
2022-08-22,6.0-rc2,00:49:04,14.085,i3-4005u@1.70
2022-08-31,6.0-rc3,01:07:08,14.086,i3-4005u@1.70
2022-09-05,6.0-rc4,00:47:09,14.087,i3-4005u@1.70
2022-09-13,6.0-rc5,00:45:23,14.085,i3-4005u@1.70
2022-09-19,6.0-rc6,00:46:01,14.089,i3-4005u@1.70
2022-09-26,6.0-rc7,00:45:16,14.090,i3-4005u@1.70
2022-10-06,6.0.0,00:45:49,14.438,i3-4005u@1.70
2022-10-17,6.1-rc1,00:46:21,14.567,i3-4005u@1.70
2022-10-24,6.1-rc2,00:51:01,14.565,i3-4005u@1.70
2022-11-06,6.1-rc3,00:53:35,14.566,i3-4005u@1.70
2022-11-07,6.1-rc4,00:59:06,14.570,i3-4005u@1.70
2022-11-16,6.1-rc5,00:53:32,14.569,i3-4005u@1.70
2022-11-22,6.1-rc6,00:50:10,14.569,i3-4005u@1.70
2022-11-28,6.1-rc7,00:55:25,14.569,i3-4005u@1.70
2022-12-05,6.1-rc8,00:56:58,14.569,i3-4005u@1.70
